open-time,open,high,low,close,volume,close-time,quote-asset-volume,num-of-trades,taker-buy-base-asset-vol,taker-buy-quote-asset-vol,ignore
1588773600000,0.21961000,0.22025000,0.21888000,0.21943000,3604738.20000000,1588777199999,791229.56766400,2492,1597330.90000000,350563.44771700,0
1588777200000,0.21948000,0.22068000,0.21902000,0.21971000,3593617.80000000,1588780799999,790168.10100700,2986,1752091.90000000,385236.35710400,0
1588780800000,0.21975000,0.22029000,0.21888000,0.21921000,3182319.70000000,1588784399999,698517.43403800,2269,1323811.60000000,290592.83955700,0
1588784400000,0.21927000,0.21951000,0.21814000,0.21889000,2696860.90000000,1588787999999,589542.50740300,2210,1194568.00000000,261143.57610300,0
1588788000000,0.21888000,0.21901000,0.21700000,0.21757000,3969726.00000000,1588791599999,864324.66137100,2693,1687062.00000000,367307.11748600,0
1588791600000,0.21757000,0.21801000,0.21585000,0.21698000,6054345.20000000,1588795199999,1314498.05385500,3125,3276894.00000000,711714.52385700,0
1588795200000,0.21691000,0.21745000,0.21591000,0.21701000,3947510.00000000,1588798799999,855584.36464500,2417,2205590.50000000,478174.36481700,0
1588798800000,0.21701000,0.21816000,0.21700000,0.21783000,2441821.60000000,1588802399999,530665.69746000,1800,1022348.80000000,222181.39265900,0
1588802400000,0.21780000,0.21842000,0.21625000,0.21759000,6098869.40000000,1588805999999,1326238.43793100,3089,3275895.50000000,712379.15350500,0
1588806000000,0.21759000,0.21796000,0.21029000,0.21158000,14760435.40000000,1588809599999,3163335.07638200,8448,6594785.70000000,1412286.95617500,0
1588809600000,0.21172000,0.21473000,0.20934000,0.21424000,13889551.20000000,1588813199999,2946153.97331000,8728,6858256.00000000,1454546.48290300,0
1588813200000,0.21424000,0.21507000,0.21390000,0.21423000,4088975.70000000,1588816799999,876248.38765800,2392,1784302.40000000,382421.42525500,0
1588816800000,0.21422000,0.21752000,0.21346000,0.21684000,6727493.50000000,1588820399999,1450362.89330400,4305,3247294.00000000,700917.91275200,0
1588820400000,0.21684000,0.21713000,0.21434000,0.21511000,4144845.60000000,1588823999999,893281.29246000,2458,1564529.80000000,337216.31066600,0
1588824000000,0.21506000,0.21594000,0.21422000,0.21508000,3395486.00000000,1588827599999,730419.57759100,2051,1775331.00000000,381845.78808000,0
1588827600000,0.21507000,0.21562000,0.21433000,0.21484000,2692448.10000000,1588831199999,578915.43282000,1826,1343343.10000000,288761.14391100,0
1588831200000,0.21485000,0.21564000,0.21382000,0.21414000,3755006.40000000,1588834799999,807042.77053900,2083,1636114.20000000,351541.20425400,0
1588834800000,0.21410000,0.21513000,0.21383000,0.21507000,1833199.70000000,1588838399999,393219.34510900,1490,916095.20000000,196472.68494400,0
