open-time,open,high,low,close,volume,trades
1602806400,1.0007,1.0009,1.0006,1.0006,105457.65003313,248
1602810000,1.0007,1.0008,1.0006,1.0007,100301.8708350099,193
1602813600,1.0006,1.0009,1.0006,1.0008,103463.53283282,167
1602817200,1.0008,1.0009,1.0006,1.0008,92270.68649556,153
1602820800,1.0008,1.001,1.0005,1.0007,1100858.3756279594,1683
1602824400,1.0007,1.0012,1.0004,1.0009,746600.0716643302,855
1602828000,1.0009,1.0013,1.0008,1.0009,842479.8129156404,526
1602831600,1.0009,1.0015,1.0008,1.0013,912536.1335349006,581
1602835200,1.0013,1.0016,1.0007,1.0008,1493812.0153786703,577
1602838800,1.0008,1.0009,1.0004,1.0005,1345715.3499485415,829
1602842400,1.0004,1.0006,1.0004,1.0006,673751.277013701,463
1602846000,1.0006,1.0008,1.0004,1.0005,1651478.0709535105,534
1602849600,1.0007,1.0009,1.0005,1.0007,1081536.0120616504,901
1602853200,1.0007,1.0008,1.0005,1.0007,987738.302432299,559
1602856800,1.0007,1.0009,1.0004,1.0007,796907.4396231212,755
1602860400,1.0007,1.001,1.0003,1.0004,1336982.9680721709,470
1602864000,1.0004,1.0005,1.0003,1.0005,592186.092739701,391
1602867600,1.0004,1.0007,1.0004,1.0005,176805.52893677,267
1602871200,1.0004,1.0006,1.0004,1.0005,463398.32650926,273
1602874800,1.0006,1.0007,1.0005,1.0007,386120.5445200296,222
1602878400,1.0006,1.0008,1.0004,1.0007,550421.1964921597,311
1602882000,1.0007,1.0008,1.0006,1.0007,83985.16395623,154
1602885600,1.0007,1.0009,1.0007,1.0009,50970.51161881,130
1602889200,1.0009,1.0009,1.0007,1.0008,125062.7556329899,284
1602892800,1.0008,1.0009,1.0006,1.0007,221197.7518872601,246
1602896400,1.0007,1.0008,1.0006,1.0007,129691.38661488,110
1602900000,1.0008,1.0008,1.0006,1.0006,98868.32795055,88
1602903600,1.0007,1.0007,1.0005,1.0005,185660.67762918,151
1602907200,1.0005,1.0006,1.0005,1.0006,9147.59708442,37
1602910800,1.0005,1.0008,1.0005,1.0006,37447.84327108,98
1602914400,1.0007,1.0008,1.0005,1.0006,273370.4167426701,138
1602918000,1.0005,1.0007,1.0005,1.0006,221784.31428812,122
1602921600,1.0006,1.0007,1.0005,1.0005,337829.15395304,102
1602925200,1.0006,1.0006,1.0005,1.0006,44545.85725434,59
1602928800,1.0006,1.0007,1.0006,1.0007,197227.8446887601,109
1602932400,1.0006,1.0008,1.0006,1.0007,400451.1071035903,235
1602936000,1.0007,1.0008,1.0005,1.0005,76374.16196028,124
1602939600,1.0006,1.0006,1.0004,1.0005,458689.2044735301,159
1602943200,1.0005,1.0006,1.0005,1.0006,164435.5122860001,228
1602946800,1.0005,1.0007,1.0005,1.0006,33053.63697833,130
1602950400,1.0005,1.0007,1.0005,1.0006,94131.74645019,150
1602954000,1.0006,1.0007,1.0004,1.0005,181029.32759463,150
1602957600,1.0005,1.0006,1.0004,1.0005,64894.62461281,101
